EQUIPAMENTOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Inventário Equipamentos LBMSB,,,,,,,
Equipamento,Marca,Modelo ,Série,Ano fabricação,Patrimônio,LOCAL,ESTADO 
Agitador magnético,TECNAL,TE-0854,22070824,,UFV-370809,,
Agitador magnético,TECNLA,TE-0854,22070822,,UFV-370807,,
Agitador vortex,ION,VX-38,,,Funarbe/Fapemig 456/6/NI,,
Agitador vortex,VIXAR,,,,Funarbe/Fapemig 20694,,
Aquecedor de temperatura,,78HW-1,,,UFV-142267,,
Balança analítica,BEL,M214Ai,BE22001468,2022,UFV- 403890,,
Balança analítica,Adventurer,AR2140,L240-1228280159P,,,,
Banho Maria,TECNAL,TE-0854,,,UFV-,,
Cabine de Biosssegurança,ESCO,Classe II BSC,,,UFV-362698,,
Centrífuga,HT,,,,UFV-363302,,
Centrífuga,Thermo,D-37520,41139874,2010,UFV-363304,,
Estufa de esterilização e secagem,Nova Ética,,,,Funarbe/Fapemig 28774/NI,,
INCUBADORA SHAKER REFRI,,NT 715,,,UFV-415487,,
INCUBADORA SHAKER REFRI,,NT 715,,,UFV-415488,,
Liquidificador ,-,-,-,,UFV-403500,,
Micrômetro Digital,-,-,,,UFV-403886,,
Panela de Pressão,AGRATTO,PED-01,PI-3450SC,,UFV-390647,,
Phmetro,Marte Científica,PH2500,422783,,UFV-370009,,
Sistema de purificador de água,GEHAKA,,,,Funarbe/Fapemig 28940/NI,,
Sistema processador Ultrasônico,SONICS,VCX 130,64407T-08-11,,Funarbe/Fapemig 28258/NI,,
Termociclador ,Biocycler,,,,UFV-333303,,
Termociclador ,Agilent,8800,,,,,
Termociclador ,Applied Biosystems,,,,UFV-363305,,
Termociclador (Prof. Carminha - DNS),NYXTechnik,ATC401,109,,Funarbe/Fapemig 21067,,
THERMO EC 250-90 PAWER SUPPLY MANUALS,THERMO EC,FB25090115,,,XXX,EMBAIXO DO ARMARIO P12 LBM III,
Ultra freezer -80 ,EPPENDORF,U410-86,F410II413341,,UFV-350977,,
Vortex,Uniscience,V1-PLUS,010203-1005-0607,,,,
