Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,REAGENTES DO FREEZER 7 (ESTOQUE -20 C),,,,,,,,,,,
CONDIÇÕES,CÓDIGO,NOME DO PROUTO,EMPRESA,PESO,OCORRÊNCIA,DATA,ESTOQUE FECHADO,ESTOQUE ABERTO (RETIRADA),VERIFICAÇÃO DO PRODUTO,DATA DE VERIFICAÇÃO DO PRODUTO,LOCAL,OBSERVAÇÃO
A,,,,,,,,,,,,
ESTOQUE BAIXO,I-2886,Acido 3-Indolacético,SIGMA,5G,ENTRADA,,0,1,True,2024-09-25 00:00:00,CAIXA 2 (GAVETA 1),
ESTOQUE MODERADO,L1376,Acido linoléico,SIGMA,10mg e 1ml,ENTRADA,,2,0,True,,GAVETA 5,
ESTOQUE MODERADO,N-5252,Ácido nonadecanoico,SIGMA,1G,ENTRADA,,0,1,True,2024-10-09 00:00:00,CAIXA 3 (GAVETA 1),
ESTOQUE CONFORTAVEL,2555S,Anti-GFP rabbit,CELL SIGNALING,100 uL,ENTRADA,,1,0,False,,CAIXA MARCADOR E ANTICORPO ,
ESTOQUE BAIXO,G-1544,Anti-GFP N-terminal antibody produced in rabbit,SIGMA,,ENTRADA,,0,1,True,2024-09-26 00:00:00,CAIXA 1 (GAVETA 1),
ESTOQUE MODERADO,,Anti-glutationa S-transferase (GST) produced in rabbit,SIGMA,,ENTRADA,,1,0,True,2024-09-26 00:00:00,CAIXA 1 (GAVETA 1),
ESTOQUE MODERADO,F-0382,"Anti-Rabbit IgG (whole molecule) FITC, in goat",SIGMA,2 mL,ENTRADA,,1,0,True,2024-09-26 00:00:00,CAIXA 1 (GAVETA 1),
ESTOQUE CONFORTAVEL,2002-12-04 00:00:00,Affinity Purified Antibody Peroxidase Labeled Goat anti-Bovine IgM,,"0,1 mg",ENTRADA,,1,0,False,,CAIXA 1 (GAVETA 1),
ESTOQUE MODERADO,26183,Anticorpo monoclonal HA tag,INVITROGEN,,ENTRADA,,1,0,True,2024-09-25 00:00:00,CAIXA MARCADOR E ANTICORPO ,
ESTOQUE CONFORTAVEL,A-4416,Anti-mouse IgG (whole molecule)-peroxidase in goat,SIGMA,1 mL,ENTRADA,,0,1,True,2024-09-26 00:00:00,CAIXA 1 (GAVETA 1),
ESTOQUE CONFORTAVEL,G-9144,Anti-gliadina (produzido em coelho),SIGMA,200 uL,ENTRADA,,0,1,True,2024-09-26 00:00:00,CAIXA 2 (GAVETA 1),
ESTOQUE CONFORTAVEL,MA5-35946,Anticorpo proteina SPIKE S2 SARS COV 2 CL (SARS/SARS-CoV-2 Spike Protein S2 Monoclonal Antibody (1A9)),INVITROGEN,,ENTRADA,,0,1,True,2024-09-25 00:00:00,CAIXA MARCADOR E ANTICORPO ,
ESTOQUE CONFORTAVEL,MA5-35943,Anticorpo proteina SARS COV (SARS-CoV/SARS-CoV-2 Nucleocapsid Monoclonal Antibody (6H3)),INVITROGEN,,ENTRADA,,0,1,True,2024-09-25 00:00:00,CAIXA MARCADOR E ANTICORPO ,
,A18835,Anticorpo anti-humano IgM (Goat) peroxidase,INVITROGEN,1 mg,ENTRADA,,1,0,False,,CAIXA 2 (GAVETA 1),
ESTOQUE CONFORTAVEL,A-0545,Anticorpo anti-rabbit IgG (whole molecule) peroxidase in goat,SIGMA,,ENTRADA,,0,1,True,2024-09-26 00:00:00,CAIXA 1 (GAVETA 1),
ESTOQUE CONFORTAVEL,643808,"Anticorpo anti-Beta-actin, mouse IgG2b",BIOLEGEND,25 ug,ENTRADA,,0,1,True,2024-09-25 00:00:00,CAIXA MARCADOR E ANTICORPO ,
ESTOQUE CONFORTAVEL,607903,Anticorpo anti-GAPDH,BIOLEGEND,,ENTRADA,,0,1,True,2024-09-25 00:00:00,CAIXA MARCADOR E ANTICORPO ,
ESTOQUE CONFORTAVEL,A-20220804861,Anticorpo IgG SAA544B009,CLOUD-CLONE,"0,64 mg/mL",ENTRADA,,0,1,True,2024-09-25 00:00:00,CAIXA MARCADOR E ANTICORPO ,
,,anticorpo anti-bovino IgG ,,1 mg/mL,ENTRADA,,0,1,False,,CAIXA 1 (FREEZER 7),
ESTOQUE CONFORTAVEL,L1376,Acido linoléico,SIGMA ,10 mL,ENTRADA,,0,1,True,2024-09-25 00:00:00,GAVETA 5,
ESTOQUE CONFORTAVEL,L1377,Acido linoléico,SIGMA ,1 mL,ENTRADA,,0,1,True,2024-09-26 00:00:00,GAVETA 5,
ESTOQUE CONFORTAVEL,A3611,Acido Arachidonic,SIGMA ,100ML,ENTRADA,,0,1,True,2024-09-02 00:00:00,GAVETA 5,
