Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,GELADEIRA 03 (ESTOQUE),,,,,,,,,,,
CONDIÇÕES,CÓDIGO,NOME,EMPRESA,PESO,OCORRÊNCIA,DATA,ESTOQUE FECHADO,ESTOQUE ABERTO (RETIRADA),LOCALIZAÇÃO,VERIFICAÇÃO DO PRODUTO,DATA DE VERIFICAÇÃO DO PRODUTO,OBERSERVAÇÃO
ESTOQUE CONFORTAVEL,5702204,COAGU-PLASMA,LABORCLIN,,ENTRADA,,1CX-5 FRASCOS,0,G03,False,2024-09-12 00:00:00,"Para teste de coagulase na pesquisa de Staphylococcus aureus, conservação entre 2 a 12ºc"
ESTOQUE CONFORTAVEL,Q10211,X,INVITROGEN BY THERMO FISHER SCIENTIFIC,,ENTRADA,,I KIT,0,G03,False,2024-09-12 00:00:00,KIT DE ENSAIO RNA AMPLO ESPECTRO
ESTOQUE CONFORTAVEL,10109142001,RNASE A,SIGMA,25MG,ENTRADA,,2 FRASCOS,0,G03,False,2024-09-12 00:00:00,
ESTOQUE MODERADO,Q32851,RN BR,INVITROGEN BY THERMO FISHER SCIENTIFIC,,ENTRADA,,0,1,G03,False,2024-09-12 00:00:00,
ESTOQUE MODERADO,Q32851,dsDNA HS,INVITROGEN BY THERMO FISHER SCIENTIFIC,,ENTRADA,,0,1,G03,False,2024-09-12 00:00:00,
ESTOQUE CONFORTAVEL,A01665G,AMPICILINA SÓDICA ,x,5g,ENTRADA,,1,0,G03,False,2024-09-12 00:00:00,Temperatura de armazenamento 2-8ºc
ESTOQUE CONFORTAVEL,K025,LIPASE ,BIOCLIN,,ENTRADA,,3cx,0,GELADEIRA 12 DE CULTIVO - PRATELEIRA 4,False,2024-09-12 00:00:00,teste colorimetrico
ESTOQUE CONFORTAVEL,AM1908,KIT MEGACLEAR,INVITROGEN BY THERMO FISHER SCIENTIFIC,,ENTRADA,,1CX,0,G03,False,2024-09-12 00:00:00,20 reações
ESTOQUE CONFORTAVEL,KO513,KIT DE EXTRAÇÃO DE DNA,FERMENTAS,,ENTRADA,,2CX,0,G03,False,2024-09-12 00:00:00,
ESTOQUE CONFORTAVEL,RPN3680,Alkphos Direct Labelling Reagents,GE HEALTHCARE,1pkg,ENTRADA,,0,1CX,G03,False,2024-09-12 00:00:00,Marcação de fosfato de dna e RNA
ESTOQUE CONFORTAVEL,M878,YNB SEM AMINOÁCIDO,HIMEDIA,100G,ENTRADA,,3CX,1CX,G03,False,2024-09-13 00:00:00,
