Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,GELADEIRA 5 (ESTOQUE 4ºC),,,,,,,,,,,
CONDIÇÕES,CÓDIGO,NOME,EMPRESA,PESO,OCORRÊNCIA,DATA,ESTOQUE FECHADO,ESTOQUE ABERTO (RETIRADA),LOCAL,VERIFICAÇÃO DO PRODUTO,DATA DE VERIFICAÇÃODO PRODUTO,OBSERVAÇÃO 
A,,,,,,,,,,False,,
ESTOQUE CONFORTAVEL,281778,(3-aminopropyl)trimethoxysilane - Reagente/membrana filtrante/projeto COVID Grazi Paulino,Sigma,,ENTRADA,,1,0,Geladeira 1 - Prateleira 2,True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,,10x selex Buffer (xelex DNA Core kit),EURx (sem número),,ENTRADA,,,1,Geladeira 1 - Prateleira 2 (Porta),False,,
ESTOQUE CONFORTAVEL,I9516,2-propanol,Sigma,,ENTRADA,,,1,Geladeira 1 - Prateleira 2,False,,
ESTOQUE CONFORTAVEL,D-9132,"2,2-difenil-1-picrilhidrazil",Sigma,1 G,ENTRADA,,2,1,Geladeira 12 de cultivo - Prateleira 2 ,True,2025-04-03 00:00:00,
ESTOQUE CONFORTAVEL,D-9503/D-9378,"3,4-dihidroxifenilalanina",Sigma,25 G,ENTRADA,,,2,Geladeira 12 de cultivo - Prateleira 2 - Porta,True,2025-04-03 00:00:00,
ESTOQUE CONFORTAVEL,D-32541G,"7,12-dimetilbenzantraceno",Sigma,,ENTRADA,,0,1,Geladeira 12 de cultivo - Prateleira 2 - Porta,True,2025-04-03 00:00:00,
ESTOQUE CONFORTAVEL,50-64-00,ABTS peroxidase substrato,KPL,,ENTRADA,,4,1,Geladeira 12 de cultivo - Prateleira 2,True,2025-04-04 00:00:00,
ESTOQUE CONFORTAVEL,103,Acetato de amônio,Amresco,,ENTRADA,,1,1,Geladeira 1 - Prateleira 3,False,,
ESTOQUE CONFORTAVEL,A-3925,Ácido Aracdônico,Sigma,,ENTRADA,,4,,Geladeira 12 de cultivo - Prateleira 3 - Porta,True,2025-04-03 00:00:00,
ESTOQUE CONFORTAVEL,C-0625,Ácido Cafeico,Sigma,,ENTRADA,,1,1,Geladeira 12  de cultivo - Prateleira 2 - Porta,True,2025-04-03 00:00:00,
