Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
KITS,,,,,,,,,,,,
CONDIÇÕES,CÓDIGO,NOME,EMPRESA,PESO,OCORRÊNCIA,DATA,ESTOQUE FECHADO,ESTOQUE ABERTO,LOCAL,VERIFICAÇÃO DO PRODUTO,DATA DA VERIFICAÇÃO DO PRODUTO,OBSERVAÇÃO
,R21412k,Quick DNA/RNA Viral MegBead,Zymo Research ,,ENTRADA,,,2 unidades,,False,,
,2595,"Assay Plate, 96 well, No Lid Vinyl ",Costar ,,ENTRADA,,3 unidades,,,False,,
,G661002,E-gel Size Select 2%,Invitrogem,,ENTRADA,,,1 unidade,,False,,
,10331-015,Hot start Kit ginco BRL,Gibco ,,ENTRADA,,,1 unidade,,False,,
,K0701,Gene jet purification ,Fermentas,,ENTRADA,,,1 unidade,,False,,
,10101402,Invisorb Spin Plasmid Mini Two,Invitek ,,ENTRADA,,,1 unidade (5 colunas),,False,,
,R2070S,Directzol Miniprep Plus,Zymo- Sinapse ,,ENTRADA,,,1 unidade (4 colunas),,False,,
,80-6484-51,2-D clean up,GE ,,ENTRADA,,,2 unidades,,False,,
,740955.10,Nucleo spin RNA,Macherey-Nagel ,,ENTRADA,,,1 unidade,,False,,
,28-9322-25,Vivaspin 500 10 Kda,GE ,,ENTRADA,,,1 unidade,,False,,
,28-9323-60,Vivaspin 20,GE ,,ENTRADA,,,1 unidade,,False,,
,K182001,Purelink Kit de purificação de DNA Genômico,Invitrogen,,ENTRADA,,,1 unidade (7 colunas),,False,,
,K182002,Purelink Kit de purificação de DNA Genômico,Invitrogen,,ENTRADA,,,1 unidade,,False,,
,52906,QIAamp Viral RNA mini kit,Qiagen ,,ENTRADA,,10 unidades,1 unidade,,False,,
,12280-050,Purelink Viral RNA/DNA Mini,Invitrogen ,,ENTRADA,,,1 unidade,,False,,
,EM101-01,Easy Pure Plasmid Miniprep Kit,Transgen Biotech (Sinapse Biotecnologia importadora),,ENTRADA,,,1 unidade,,False,,
,D2004,Zymoprep Yeast Plasmid Miniprep II,Zymo Research,,ENTRADA,,,1 unidade,,False,,
,4484354,Ion Semiconductor Sequencing ,Ion torrent by Life ,,ENTRADA,,,1 unidade,,False,,
,G6400,E-Gel iBase Power System ,Invitrogem ,,ENTRADA,,,1 unidade,,False,,
,CHP1-24RXN,Imprint- Kit para Imunoprecipitação de Cromatina,Sigma,,ENTRADA,,,1 unidade,,False,,
,G6500,E-Gel Safe Imager Real-Time Transilluminator,Invitrogem ,,ENTRADA,,,1 unidade,,False,,
,3 unidades ,Aerografo ,Vonder 62.20.013.000,,ENTRADA,,,,,False,,
,UFC800396,Amicon Ultra- Centrifugal Filters 3K ,Ultracel ,,ENTRADA,,,24 tubos,,False,,
,UFC805024,Amicon Ultra- Centrifugal Filters 50K,Ultracel ,,ENTRADA,,,21 tubos,,False,,
,BSC01M1,DNA/RNA Extraction?purification- Biospin Plasmide DNA Mini Extraction Kit ,BioFlux ,,ENTRADA,,,1 unidade (4 colunas),,False,,
,1223,MiniPrep Sistem,Promega ,,ENTRADA,,,1 unidade,,False,,
,D40115-01,E.Z.N.A Stool DNA Kit ,Omega Bio-Tek,,ENTRADA,,,2 unidades,,False,,
,BSC0251,Biospin Gel Extraction Kit ,BioFlux ,,ENTRADA,,3 unidades,2 unidades,,False,,
,A9281,Wizard SV Gel and PCR clean-up System ,Promega ,,ENTRADA,,,1 unidade (2 colunas),,False,,
,45-0078,S.N.A.P Gel Purification kit ,Invitrogen,,ENTRADA,,,1 unidade (4 colunas),,False,,
,NA1111-1KT,GenElute - Gel extraction kit ,Sigma,,ENTRADA,,,1 unidade (12 colunas),,False,,
,27106,QI Aprep Spin Miniprep Kit ,Qiagen ,,ENTRADA,,,1 unidade,,False,,
,12143,QI Plasmide Midi Kit ,Qiagen ,,ENTRADA,,,1 unidade (2 colunas),,False,,
,E3650-01,Xelex DNA core Kit ,EURx ,,ENTRADA,,,2 unidades,,False,,
,34577,Super Signal West Pico PLUS Chemiluminescent Substrate ,Thermo ,,ENTRADA,,,,,False,,
,66380,Slide-A-Lyzer Dialisis Cassette (extra Strength),Thermo ,,ENTRADA,,,,,False,,
,23277,BCA Protein Assay Kit ,Thermo,,ENTRADA,,,1 unidade,,False,,
,PLK0302 100 preps,Plasmid Mini Purification Kit,Mebep bioscience,,ENTRADA,,1 unidade,,,False,,
,DPK-105S,Agarose Gel Extration ,Cellco,,ENTRADA,,,1 unidade,,False,,
,K0692,Gene jet purification ,Thermo Scientific,,ENTRADA,,,1 unidade,,False,,
,DPK-112L,Blood Animal Plant DNA Prepation,Cellco,,ENTRADA,,,1 unidade,,False,,
,740955.10,Nucleo spin RNA II,Machery-Nagel,,ENTRADA,,,1 unidade,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
,,,,,ENTRADA,,,,,False,,
