Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,REAGENTE SÓLIDO,,,,,,,,,,,
CONDIÇÕES,CÓDIGO,NOME DO PRODUTO,EMPRESA,PESO,OCORRÊNCIA,DATA,ESTOQUE FECHADO,ESTOQUE ABERTO (RETIRADA),LOCAL ,VERIFICAÇÃO DO PRODUTO,DATA DE VERIFICAÇÃO DO PRODUTO,OBSERVAÇÃO
A,,,,,,,,,,,,
ESTOQUE MODERADO,A-5754,Amino-9-ethylcarbazole,SIGMA,10G,SAIDA,,0,1,,False,,
ESTOQUE MODERADO,A-1888,"ABTS - 2,2′-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",SIGMA,5G,SAIDA,,0,1,P17A,True,2024-09-04 00:00:00,
ESTOQUE MODERADO,131,ACETATO DE AMÔNIO P.A,VETEC,500G,SAIDA,,0,1,P17A,True,2024-09-04 00:00:00,
ESTOQUE CONFORTAVEL,10208,ACETATO DE CÁLCIO,REAGEN,500G,SAIDA,,0,1,P17A,True,2024-09-04 00:00:00,
ESTOQUE CONFORTAVEL,419028,ACETATO DE CELULOSE,SIGMA,500G,SAIDA,,0,1,BANCADA LBM II,False,,
ESTOQUE CONFORTAVEL,-,ACETATO DE LÍTIO,CROMOLINE,100G,ENTRADA,,1,0,P17A,True,2024-09-04 00:00:00,
ESTOQUE CONFORTAVEL,1675,,VETEC,500G,SAIDA,,0,1,BANCADA LBM II (LETRA A),True,2024-11-13 00:00:00,
ESTOQUE MODERADO,V 000420,ACETATO DE MAGNÉSIO TETRAHIDRATADO,VETEC,1KG,SAIDA,,0,1,P17A,True,2024-09-04 00:00:00,
ESTOQUE CONFORTAVEL,AP07939RA,ACETATO DE SÓDIO,ÊXODO,500G,ENTRADA,,1,0,,False,,
ESTOQUE CONFORTAVEL,A1012.01.A,,SYNTH,500G,ENTRADA,,1,0,,False,,
ESTOQUE CONFORTAVEL,P1190,,SIGMA,100G,SAIDA,,,,,False,,
ESTOQUE CONFORTAVEL,A1015.01.AG,,SYNTH,500G,ENTRADA,,1,0,P17A,True,2024-09-04 00:00:00,
